primaBot/2207-2/0.8 AWLR/data/m_2022Jul.csv,,,,,,
sampling,up_since,batt,signal_quality,distance,sensor_height,sensor_resolution
2022-07-1T17:55:00+07,2022-07-01T17:53:19+07,12.3,14,263,1000,0.1
2022-07-1T18:00:00+07,2022-07-01T17:53:19+07,12.3,15,156,1000,0.1
2022-07-1T18:05:00+07,2022-07-01T17:53:19+07,12.3,15,156,1000,0.1
2022-07-1T18:10:00+07,2022-07-01T17:53:19+07,12.3,15,156,1000,0.1
2022-07-1T18:15:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T18:20:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T18:25:00+07,2022-07-01T17:53:19+07,12.4,15,155,1000,0.1
2022-07-1T18:30:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T18:35:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T18:40:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T18:45:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T18:50:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T18:55:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T19:00:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T19:05:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T19:10:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T19:15:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T19:20:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T19:25:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T19:30:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T19:35:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T19:40:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T19:45:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T19:50:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T19:55:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T20:00:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T20:05:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T20:10:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T20:15:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T20:20:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T20:25:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T20:30:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T20:35:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T20:40:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T20:45:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T20:50:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T20:55:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T21:00:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T21:05:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T21:10:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T21:15:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T21:20:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T21:25:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T21:30:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T21:35:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T21:40:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T21:45:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T21:50:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T21:55:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T22:00:00+07,2022-07-01T17:53:19+07,12.3,15,156,1000,0.1
2022-07-1T22:05:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T22:10:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T22:15:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T22:20:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T22:25:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T22:30:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T22:35:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T22:40:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T22:45:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T22:50:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T22:55:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T23:00:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T23:05:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T23:10:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T23:15:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T23:20:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T23:25:00+07,2022-07-01T17:53:19+07,12.4,16,156,1000,0.1
2022-07-1T23:30:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T23:35:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T23:40:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T23:45:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T23:50:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-1T23:55:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T00:00:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T00:05:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T00:10:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T00:15:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T00:20:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T00:25:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T00:30:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T00:35:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T00:40:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T00:45:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T00:50:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T00:55:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T01:00:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T01:05:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T01:10:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T01:15:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T01:20:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T01:25:00+07,2022-07-01T17:53:19+07,12.3,15,156,1000,0.1
2022-07-2T01:30:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T01:35:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T01:40:00+07,2022-07-01T17:53:19+07,12.3,15,156,1000,0.1
2022-07-2T01:45:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T01:50:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T01:55:00+07,2022-07-01T17:53:19+07,12.4,15,157,1000,0.1
2022-07-2T02:00:00+07,2022-07-01T17:53:19+07,12.3,15,156,1000,0.1
2022-07-2T02:05:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T02:10:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T02:15:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T02:20:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T02:25:00+07,2022-07-01T17:53:19+07,12.3,15,156,1000,0.1
2022-07-2T02:30:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T02:35:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T02:40:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T02:45:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T02:50:00+07,2022-07-01T17:53:19+07,12.3,15,156,1000,0.1
2022-07-2T02:55:00+07,2022-07-01T17:53:19+07,12.4,15,157,1000,0.1
2022-07-2T03:00:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T03:05:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T03:10:00+07,2022-07-01T17:53:19+07,12.4,15,157,1000,0.1
2022-07-2T03:15:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T03:20:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T03:25:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
2022-07-2T03:30:00+07,2022-07-01T17:53:19+07,12.3,15,156,1000,0.1
2022-07-2T03:35:00+07,2022-07-01T17:53:19+07,12.4,15,156,1000,0.1
