primaBot/2207-1/0.8 ARR/data/m_2022Jun.csv
sampling,up_since,batt,signal_quality,tick,tipping_factor
"2022-06-11T06:50:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T06:55:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T07:00:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T07:05:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T07:10:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T07:15:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T07:20:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T07:25:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T07:30:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T07:35:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T07:40:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T07:45:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T07:50:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T07:55:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T08:00:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T08:05:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T08:10:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T08:15:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T08:20:00+07", "2022-06-10T17:19:07+07",12.2, 12, 0, 0.2
"2022-06-11T08:25:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T08:30:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T08:35:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T08:40:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T08:45:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T08:50:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T08:55:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T09:00:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T09:05:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T09:10:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T09:15:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T09:20:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T09:25:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T09:30:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T09:35:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T09:40:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T09:45:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T09:50:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T09:55:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T10:00:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T10:05:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T10:10:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T10:15:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T10:20:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T10:25:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T10:30:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T10:35:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T10:40:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T10:45:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T10:50:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T10:55:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T11:00:00+07", "2022-06-10T17:19:07+07",12.1, 14, 0, 0.2
"2022-06-11T11:05:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T11:10:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T11:15:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T11:20:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T11:25:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T11:30:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T11:35:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T11:40:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T11:45:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T11:50:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T11:55:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T12:00:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T12:05:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T12:10:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T12:15:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T12:20:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T12:25:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
